person,date,category,amount,monthly_income,description,payment_mode
Shreya Sen,2023-02-17,Groceries,2137.0,18000.0,,Cash
Harini Bhat,2023-02-17,Miscellaneous,1968.0,30000.0,,Cash
Ishita Roy,2023-02-17,Study Materials,1984.0,22000.0,,NetBanking
Harsha Patel,2023-02-17,Entertainment,1281.0,30000.0,,Card
Rohan Verma,2023-02-17,Utilities,2248.0,20000.0,,Cash
Karthik Rao,2023-02-17,Miscellaneous,1494.0,18000.0,,Card
Nisha Sharma,2023-02-18,Travel,279.0,18000.0,,NetBanking
Shreya Sen,2023-02-18,Rent,11971.0,18000.0,,UPI
Tanvi Jain,2023-02-18,Travel,68.0,30000.0,,NetBanking
Aditya Pillai,2023-02-18,Groceries,1473.0,20000.0,,Card
Harsha Patel,2023-02-18,Rent,11328.0,30000.0,,Card
Karthik Rao,2023-02-18,Rent,4531.0,18000.0,,Cash
Harini Bhat,2023-02-18,Entertainment,2356.0,30000.0,,Cash
Rohan Verma,2023-02-18,Health,1452.0,20000.0,,UPI
Nisha Sharma,2023-02-19,Health,1050.0,18000.0,,UPI
Pooja Mehta,2023-02-19,Utilities,398.0,30000.0,,UPI
Harsha Patel,2023-02-19,Groceries,777.0,30000.0,,Cash
Nisha Sharma,2023-02-19,Food,668.0,18000.0,,UPI
Tanvi Jain,2023-02-19,Utilities,1562.0,30000.0,,Cash
Megha Das,2023-02-19,Health,718.0,25000.0,,Card
Krishna Rao,2023-02-19,Entertainment,1203.0,30000.0,,Cash
Tanvi Jain,2023-02-19,Rent,4850.0,30000.0,,Card
Vivek Menon,2023-02-20,Food,479.0,18000.0,,Card
Megha Das,2023-02-20,Groceries,1858.0,25000.0,,UPI
Amit Sharma,2023-02-20,Groceries,2312.0,20000.0,,Cash
Rohan Verma,2023-02-20,Health,878.0,20000.0,,NetBanking
Priya Iyer,2023-02-20,Utilities,1297.0,18000.0,,Card
Priya Iyer,2023-02-20,Food,126.0,18000.0,,Card
Vikram Joshi,2023-02-20,Miscellaneous,289.0,25000.0,,NetBanking
Karthik Rao,2023-02-21,Food,225.0,18000.0,,Card
Vivek Menon,2023-02-21,Rent,8294.0,18000.0,,Cash
Rohan Verma,2023-02-21,Study Materials,940.0,20000.0,,NetBanking
Priya Iyer,2023-02-21,Miscellaneous,2406.0,18000.0,,Card
Siddharth Rao,2023-02-21,Utilities,1793.0,30000.0,,NetBanking
Divya Yeddu,2023-02-21,Travel,264.0,25000.0,,UPI
Harini Bhat,2023-02-22,Utilities,581.0,30000.0,,UPI
Harsha Patel,2023-02-22,Health,1427.0,30000.0,,NetBanking
Arjun Nair,2023-02-22,Rent,4410.0,22000.0,,Card
Vivek Menon,2023-02-22,Health,1792.0,18000.0,,UPI
Siddharth Rao,2023-02-22,Groceries,1811.0,30000.0,,Card
Sneha Kapoor,2023-02-22,Utilities,1287.0,18000.0,,Card
Shreya Sen,2023-02-22,Study Materials,1986.0,18000.0,,Card
Divya Yeddu,2023-02-22,Miscellaneous,744.0,25000.0,,Cash
Siddharth Rao,2023-02-23,Travel,392.0,30000.0,,Cash
Nisha Sharma,2023-02-23,Health,1346.0,18000.0,,NetBanking
Arjun Nair,2023-02-23,Utilities,1134.0,22000.0,,Cash
Rahul Kumar,2023-02-23,Food,618.0,20000.0,,Cash
Tanvi Jain,2023-02-23,Rent,7790.0,30000.0,,UPI
Nisha Sharma,2023-02-23,Rent,7846.0,18000.0,,NetBanking
Sneha Kapoor,2023-02-24,Food,437.0,18000.0,,NetBanking
Krishna Rao,2023-02-24,Entertainment,272.0,30000.0,,UPI
Rahul Kumar,2023-02-24,Rent,5930.0,20000.0,,UPI
Pooja Mehta,2023-02-24,Rent,8397.0,30000.0,,NetBanking
Arjun Nair,2023-02-24,Miscellaneous,700.0,22000.0,,Card
Krishna Rao,2023-02-24,Study Materials,648.0,30000.0,,Cash
Varun Gupta,2023-02-24,Entertainment,920.0,20000.0,,Cash
Krishna Rao,2023-02-24,Food,559.0,30000.0,,Cash
Harini Bhat,2023-02-24,Utilities,1856.0,30000.0,,UPI
Harini Bhat,2023-02-25,Miscellaneous,351.0,30000.0,,UPI
Amit Sharma,2023-02-25,Entertainment,384.0,20000.0,,Cash
Tanvi Jain,2023-02-25,Travel,557.0,30000.0,,Card
Ishita Roy,2023-02-26,Groceries,2466.0,22000.0,,UPI
Divya Yeddu,2023-02-26,Food,459.0,25000.0,,Cash
Pooja Mehta,2023-02-26,Utilities,360.0,30000.0,,NetBanking
Tanvi Jain,2023-02-26,Utilities,1977.0,30000.0,,Card
Harini Bhat,2023-02-26,Travel,590.0,30000.0,,UPI
Karthik Rao,2023-02-26,Groceries,2369.0,18000.0,,Card
Arjun Nair,2023-02-26,Entertainment,2165.0,22000.0,,UPI
Krishna Rao,2023-02-26,Rent,8438.0,30000.0,,Cash
Divya Yeddu,2023-02-26,Rent,10156.0,25000.0,,UPI
Ananya Singh,2023-02-26,Entertainment,1113.0,30000.0,,UPI
Divya Yeddu,2023-02-26,Miscellaneous,303.0,25000.0,,UPI
Ishita Roy,2023-02-26,Rent,5309.0,22000.0,,UPI
Arjun Nair,2023-02-27,Rent,6769.0,22000.0,,Card
Vivek Menon,2023-02-27,Entertainment,2015.0,18000.0,,Card
Priya Iyer,2023-02-27,Rent,11061.0,18000.0,,Cash
Vikram Joshi,2023-02-27,Miscellaneous,582.0,25000.0,,NetBanking
Krishna Rao,2023-02-27,Study Materials,1364.0,30000.0,,NetBanking
Priya Iyer,2023-02-27,Groceries,1689.0,18000.0,,UPI
Nisha Sharma,2023-02-27,Utilities,1031.0,18000.0,,NetBanking
Harini Bhat,2023-02-27,Travel,214.0,30000.0,,Cash
Karthik Rao,2023-02-27,Study Materials,357.0,18000.0,,UPI
Shreya Sen,2023-02-27,Entertainment,764.0,18000.0,,UPI
Vivek Menon,2023-02-27,Travel,503.0,18000.0,,UPI
Varun Gupta,2023-02-28,Entertainment,565.0,20000.0,,Cash
Vikram Joshi,2023-02-28,Study Materials,871.0,25000.0,,UPI
Megha Das,2023-02-28,Food,402.0,25000.0,,Card
Aditya Pillai,2023-02-28,Entertainment,1019.0,20000.0,,NetBanking
Harsha Patel,2023-02-28,Travel,371.0,30000.0,,UPI
Shreya Sen,2023-02-28,Travel,263.0,18000.0,,NetBanking
Vikram Joshi,2023-02-28,Health,1666.0,25000.0,,UPI
Amit Sharma,2023-02-28,Entertainment,427.0,20000.0,,Cash
Ananya Singh,2023-02-28,Entertainment,2041.0,30000.0,,Card
Arjun Nair,2023-02-28,Health,1560.0,22000.0,,NetBanking
Ananya Singh,2023-03-01,Miscellaneous,1112.0,30000.0,,Card
Ananya Singh,2023-03-01,Miscellaneous,750.0,30000.0,,UPI
Vivek Menon,2023-03-01,Miscellaneous,2400.0,18000.0,,Card
Priya Iyer,2023-03-01,Food,335.0,18000.0,,Cash
Siddharth Rao,2023-03-01,Study Materials,964.0,30000.0,,Cash
Krishna Rao,2023-03-01,Health,2015.0,30000.0,,Cash
Priya Iyer,2023-03-01,Food,174.0,18000.0,,UPI
Aditya Pillai,2023-03-01,Miscellaneous,2024.0,20000.0,,UPI
Vivek Menon,2023-03-01,Miscellaneous,255.0,18000.0,,UPI
Swathi Reddy,2023-03-01,Miscellaneous,1352.0,25000.0,,Cash
Krishna Rao,2023-03-01,Travel,511.0,30000.0,,NetBanking
Karthik Rao,2023-03-01,Groceries,224.0,18000.0,,UPI
Sneha Kapoor,2023-03-02,Study Materials,1831.0,18000.0,,Card
Ananya Singh,2023-03-02,Study Materials,1591.0,30000.0,,UPI
Amit Sharma,2023-03-02,Groceries,1906.0,20000.0,,UPI
Harini Bhat,2023-03-02,Entertainment,494.0,30000.0,,UPI
Vikram Joshi,2023-03-02,Health,2174.0,25000.0,,Card
Siddharth Rao,2023-03-02,Miscellaneous,344.0,30000.0,,Card
Arjun Nair,2023-03-02,Miscellaneous,1602.0,22000.0,,Card
Harsha Patel,2023-03-02,Travel,263.0,30000.0,,UPI
Sneha Kapoor,2023-03-02,Travel,546.0,18000.0,,Card
Shreya Sen,2023-03-03,Rent,9076.0,18000.0,,UPI
Tanvi Jain,2023-03-03,Entertainment,2133.0,30000.0,,Cash
Tanvi Jain,2023-03-03,Travel,542.0,30000.0,,Card
Varun Gupta,2023-03-03,Rent,10440.0,20000.0,,Card
Harsha Patel,2023-03-03,Utilities,503.0,30000.0,,UPI
Swathi Reddy,2023-03-03,Study Materials,767.0,25000.0,,NetBanking
Vivek Menon,2023-03-03,Miscellaneous,464.0,18000.0,,NetBanking
Rohan Verma,2023-03-03,Rent,4524.0,20000.0,,Card
Amit Sharma,2023-03-03,Rent,11796.0,20000.0,,Card
Aditya Pillai,2023-03-03,Health,679.0,20000.0,,NetBanking
Vivek Menon,2023-03-03,Groceries,437.0,18000.0,,Cash
Varun Gupta,2023-03-03,Rent,5713.0,20000.0,,UPI
Tanvi Jain,2023-03-03,Rent,11949.0,30000.0,,UPI
Rohan Verma,2023-03-03,Entertainment,657.0,20000.0,,NetBanking
Rahul Kumar,2023-03-04,Utilities,1202.0,20000.0,,Card
Nisha Sharma,2023-03-04,Rent,6931.0,18000.0,,Card
Arjun Nair,2023-03-04,Miscellaneous,1223.0,22000.0,,Cash
Swathi Reddy,2023-03-04,Health,1093.0,25000.0,,Card
Siddharth Rao,2023-03-04,Miscellaneous,2059.0,30000.0,,Cash
Pooja Mehta,2023-03-04,Utilities,856.0,30000.0,,NetBanking
Divya Yeddu,2023-03-04,Miscellaneous,1589.0,25000.0,,NetBanking
Vivek Menon,2023-03-04,Entertainment,1899.0,18000.0,,Cash
Megha Das,2023-03-04,Food,607.0,25000.0,,Card
Vivek Menon,2023-03-04,Entertainment,156.0,18000.0,,Card
Swathi Reddy,2023-03-05,Study Materials,1399.0,25000.0,,UPI
Priya Iyer,2023-03-05,Food,517.0,18000.0,,NetBanking
Megha Das,2023-03-05,Entertainment,2473.0,25000.0,,Cash
Nisha Sharma,2023-03-05,Travel,111.0,18000.0,,Card
Amit Sharma,2023-03-05,Rent,6099.0,20000.0,,NetBanking
Krishna Rao,2023-03-05,Entertainment,2289.0,30000.0,,Card
Ishita Roy,2023-03-05,Food,187.0,22000.0,,UPI
Amit Sharma,2023-03-05,Rent,10511.0,20000.0,,Cash
Karthik Rao,2023-03-06,Utilities,262.0,18000.0,,UPI
Harini Bhat,2023-03-06,Rent,7608.0,30000.0,,NetBanking
Priya Iyer,2023-03-06,Health,1931.0,18000.0,,Card
Harsha Patel,2023-03-06,Health,465.0,30000.0,,Card
Karthik Rao,2023-03-06,Study Materials,1114.0,18000.0,,Card
Nisha Sharma,2023-03-06,Miscellaneous,2069.0,18000.0,,NetBanking
Vikram Joshi,2023-03-06,Miscellaneous,1559.0,25000.0,,Card
Siddharth Rao,2023-03-07,Miscellaneous,1949.0,30000.0,,Card
Varun Gupta,2023-03-07,Miscellaneous,892.0,20000.0,,Card
Varun Gupta,2023-03-07,Groceries,611.0,20000.0,,Card
Krishna Rao,2023-03-07,Miscellaneous,994.0,30000.0,,UPI
Sneha Kapoor,2023-03-07,Rent,11570.0,18000.0,,Card
Sneha Kapoor,2023-03-08,Utilities,1013.0,18000.0,,Cash
Pooja Mehta,2023-03-08,Health,326.0,30000.0,,UPI
Swathi Reddy,2023-03-08,Groceries,1342.0,25000.0,,NetBanking
Harini Bhat,2023-03-08,Entertainment,696.0,30000.0,,Card
Megha Das,2023-03-08,Travel,587.0,25000.0,,Cash
Vikram Joshi,2023-03-08,Travel,284.0,25000.0,,Cash
Ishita Roy,2023-03-08,Utilities,187.0,22000.0,,NetBanking
Nisha Sharma,2023-03-08,Miscellaneous,1437.0,18000.0,,Card
Priya Iyer,2023-03-08,Food,626.0,18000.0,,Cash
Rohan Verma,2023-03-08,Groceries,1672.0,20000.0,,Cash
Vikram Joshi,2023-03-08,Rent,7946.0,25000.0,,UPI
Nisha Sharma,2023-03-08,Entertainment,1255.0,18000.0,,Card
Karthik Rao,2023-03-08,Groceries,2269.0,18000.0,,UPI
Ananya Singh,2023-03-09,Entertainment,2141.0,30000.0,,Cash
Siddharth Rao,2023-03-09,Travel,157.0,30000.0,,Card
Aditya Pillai,2023-03-09,Study Materials,1259.0,20000.0,,Card
Rohan Verma,2023-03-09,Travel,378.0,20000.0,,UPI
Sneha Kapoor,2023-03-09,Study Materials,1013.0,18000.0,,Cash
Karthik Rao,2023-03-09,Food,609.0,18000.0,,Cash
Arjun Nair,2023-03-09,Travel,508.0,22000.0,,UPI
Rohan Verma,2023-03-09,Rent,8612.0,20000.0,,NetBanking
Varun Gupta,2023-03-10,Study Materials,1276.0,20000.0,,Cash
Priya Iyer,2023-03-10,Utilities,1756.0,18000.0,,NetBanking
Ishita Roy,2023-03-10,Health,1472.0,22000.0,,Cash
Vivek Menon,2023-03-10,Groceries,1716.0,18000.0,,UPI
Pooja Mehta,2023-03-10,Study Materials,1895.0,30000.0,,Card
Siddharth Rao,2023-03-10,Utilities,2312.0,30000.0,,Card
Arjun Nair,2023-03-10,Travel,212.0,22000.0,,NetBanking
Siddharth Rao,2023-03-11,Utilities,112.0,30000.0,,NetBanking
Rohan Verma,2023-03-11,Health,1629.0,20000.0,,Cash
Shreya Sen,2023-03-11,Utilities,698.0,18000.0,,Card
Krishna Rao,2023-03-11,Travel,108.0,30000.0,,Cash
Amit Sharma,2023-03-11,Entertainment,292.0,20000.0,,NetBanking
Arjun Nair,2023-03-11,Rent,7964.0,22000.0,,NetBanking
Swathi Reddy,2023-03-12,Travel,416.0,25000.0,,Cash
Rohan Verma,2023-03-12,Utilities,1192.0,20000.0,,NetBanking
Megha Das,2023-03-12,Study Materials,446.0,25000.0,,Cash
Arjun Nair,2023-03-12,Food,261.0,22000.0,,NetBanking
Ishita Roy,2023-03-12,Food,673.0,22000.0,,Card
Tanvi Jain,2023-03-12,Health,447.0,30000.0,,Card
Megha Das,2023-03-12,Utilities,269.0,25000.0,,NetBanking
Arjun Nair,2023-03-12,Entertainment,727.0,22000.0,,Card
Vivek Menon,2023-03-13,Health,238.0,18000.0,,NetBanking
Pooja Mehta,2023-03-13,Travel,557.0,30000.0,,Card
Arjun Nair,2023-03-13,Rent,10748.0,22000.0,,UPI
Pooja Mehta,2023-03-13,Entertainment,645.0,30000.0,,UPI
Varun Gupta,2023-03-14,Entertainment,150.0,20000.0,,Card
Tanvi Jain,2023-03-14,Entertainment,2124.0,30000.0,,Card
Pooja Mehta,2023-03-14,Utilities,1196.0,30000.0,,UPI
Priya Iyer,2023-03-14,Groceries,2079.0,18000.0,,Card
Aditya Pillai,2023-03-15,Miscellaneous,802.0,20000.0,,NetBanking
Karthik Rao,2023-03-15,Miscellaneous,647.0,18000.0,,NetBanking
Krishna Rao,2023-03-15,Food,656.0,30000.0,,NetBanking
Ishita Roy,2023-03-15,Food,294.0,22000.0,,UPI
Krishna Rao,2023-03-15,Travel,183.0,30000.0,,Cash
Shreya Sen,2023-03-15,Rent,11585.0,18000.0,,NetBanking
Rahul Kumar,2023-03-16,Entertainment,173.0,20000.0,,Cash
Harsha Patel,2023-03-16,Utilities,933.0,30000.0,,NetBanking
Megha Das,2023-03-16,Groceries,687.0,25000.0,,Cash
Swathi Reddy,2023-03-16,Health,1583.0,25000.0,,Cash
Siddharth Rao,2023-03-16,Health,1236.0,30000.0,,UPI
Harini Bhat,2023-03-16,Rent,6463.0,30000.0,,Card
Harini Bhat,2023-03-16,Health,2480.0,30000.0,,NetBanking
Swathi Reddy,2023-03-16,Groceries,1737.0,25000.0,,Cash
Ananya Singh,2023-03-16,Rent,9635.0,30000.0,,UPI
Krishna Rao,2023-03-16,Utilities,1914.0,30000.0,,Card
Nisha Sharma,2023-03-16,Travel,323.0,18000.0,,Card
Rahul Kumar,2023-03-16,Travel,494.0,20000.0,,Cash
Shreya Sen,2023-03-17,Miscellaneous,1656.0,18000.0,,Cash
Siddharth Rao,2023-03-17,Miscellaneous,167.0,30000.0,,UPI
Vikram Joshi,2023-03-17,Entertainment,350.0,25000.0,,Cash
Varun Gupta,2023-03-17,Health,775.0,20000.0,,Card
Swathi Reddy,2023-03-17,Food,278.0,25000.0,,Card
Shreya Sen,2023-03-17,Groceries,441.0,18000.0,,NetBanking
Nisha Sharma,2023-03-17,Utilities,1654.0,18000.0,,NetBanking
Amit Sharma,2023-03-17,Entertainment,1717.0,20000.0,,Cash
Ananya Singh,2023-03-17,Study Materials,662.0,30000.0,,NetBanking
Rohan Verma,2023-03-17,Travel,561.0,20000.0,,UPI
Arjun Nair,2023-03-18,Groceries,838.0,22000.0,,Cash
Amit Sharma,2023-03-18,Travel,337.0,20000.0,,Cash
Priya Iyer,2023-03-18,Health,2384.0,18000.0,,NetBanking
Vikram Joshi,2023-03-18,Rent,7505.0,25000.0,,Cash
Tanvi Jain,2023-03-18,Food,205.0,30000.0,,NetBanking
Shreya Sen,2023-03-18,Entertainment,1803.0,18000.0,,NetBanking
Harini Bhat,2023-03-18,Travel,183.0,30000.0,,UPI
Vivek Menon,2023-03-18,Food,467.0,18000.0,,Card
Karthik Rao,2023-03-18,Miscellaneous,1687.0,18000.0,,UPI
Ananya Singh,2023-03-18,Study Materials,1004.0,30000.0,,UPI
Ishita Roy,2023-03-19,Utilities,1135.0,22000.0,,NetBanking
Harsha Patel,2023-03-19,Entertainment,387.0,30000.0,,NetBanking
Karthik Rao,2023-03-19,Entertainment,265.0,18000.0,,UPI
Rohan Verma,2023-03-19,Rent,7033.0,20000.0,,Cash
Harini Bhat,2023-03-19,Rent,10927.0,30000.0,,Card
Pooja Mehta,2023-03-19,Travel,554.0,30000.0,,NetBanking
Varun Gupta,2023-03-19,Entertainment,758.0,20000.0,,Cash
Vikram Joshi,2023-03-20,Travel,59.0,25000.0,,Card
Karthik Rao,2023-03-20,Travel,86.0,18000.0,,UPI
Sneha Kapoor,2023-03-20,Groceries,1120.0,18000.0,,Card
Shreya Sen,2023-03-20,Miscellaneous,1665.0,18000.0,,Cash
Ishita Roy,2023-03-20,Study Materials,566.0,22000.0,,Cash
Megha Das,2023-03-20,Utilities,252.0,25000.0,,NetBanking
Nisha Sharma,2023-03-21,Food,665.0,18000.0,,UPI
Megha Das,2023-03-21,Groceries,349.0,25000.0,,Card
Megha Das,2023-03-21,Food,211.0,25000.0,,Card
Pooja Mehta,2023-03-21,Miscellaneous,2089.0,30000.0,,Cash
Karthik Rao,2023-03-21,Rent,4096.0,18000.0,,Cash
Nisha Sharma,2023-03-21,Utilities,2132.0,18000.0,,NetBanking
Vikram Joshi,2023-03-21,Food,397.0,25000.0,,Card
Ishita Roy,2023-03-22,Health,1513.0,22000.0,,Cash
Karthik Rao,2023-03-22,Rent,6112.0,18000.0,,Card
Siddharth Rao,2023-03-22,Study Materials,1247.0,30000.0,,Cash
Harini Bhat,2023-03-22,Health,133.0,30000.0,,UPI
Sneha Kapoor,2023-03-23,Health,1073.0,18000.0,,Cash
Ishita Roy,2023-03-23,Groceries,1783.0,22000.0,,Card
Ananya Singh,2023-03-23,Food,404.0,30000.0,,Cash
Krishna Rao,2023-03-23,Entertainment,1549.0,30000.0,,Card
Amit Sharma,2023-03-24,Utilities,133.0,20000.0,,UPI
Tanvi Jain,2023-03-24,Travel,386.0,30000.0,,Cash
Pooja Mehta,2023-03-24,Groceries,393.0,30000.0,,Card
Nisha Sharma,2023-03-24,Miscellaneous,2010.0,18000.0,,NetBanking
Swathi Reddy,2023-03-24,Entertainment,909.0,25000.0,,Cash
Pooja Mehta,2023-03-25,Utilities,351.0,30000.0,,Card
Shreya Sen,2023-03-25,Groceries,271.0,18000.0,,UPI
Harsha Patel,2023-03-25,Miscellaneous,595.0,30000.0,,Cash
Karthik Rao,2023-03-25,Utilities,616.0,18000.0,,UPI
Arjun Nair,2023-03-25,Miscellaneous,677.0,22000.0,,Cash
Harsha Patel,2023-03-25,Rent,11597.0,30000.0,,NetBanking
Vivek Menon,2023-03-25,Rent,10085.0,18000.0,,NetBanking
Amit Sharma,2023-03-25,Miscellaneous,335.0,20000.0,,Card
Karthik Rao,2023-03-26,Health,1507.0,18000.0,,NetBanking
Priya Iyer,2023-03-26,Travel,379.0,18000.0,,UPI
Aditya Pillai,2023-03-26,Rent,7744.0,20000.0,,Cash
Rahul Kumar,2023-03-26,Groceries,902.0,20000.0,,NetBanking
Pooja Mehta,2023-03-26,Utilities,613.0,30000.0,,Cash
Aditya Pillai,2023-03-26,Travel,425.0,20000.0,,Card
Divya Yeddu,2023-03-26,Health,744.0,25000.0,,UPI
Krishna Rao,2023-03-26,Utilities,1837.0,30000.0,,Cash
Vikram Joshi,2023-03-26,Study Materials,909.0,25000.0,,UPI
Swathi Reddy,2023-03-26,Rent,4446.0,25000.0,,Cash
Swathi Reddy,2023-03-27,Food,409.0,25000.0,,UPI
Arjun Nair,2023-03-27,Food,695.0,22000.0,,Cash
Divya Yeddu,2023-03-27,Food,570.0,25000.0,,NetBanking
Swathi Reddy,2023-03-27,Entertainment,1087.0,25000.0,,NetBanking
Sneha Kapoor,2023-03-28,Utilities,1522.0,18000.0,,Cash
Varun Gupta,2023-03-28,Health,370.0,20000.0,,UPI
Aditya Pillai,2023-03-28,Groceries,2203.0,20000.0,,NetBanking
Sneha Kapoor,2023-03-28,Health,1924.0,18000.0,,Card
Arjun Nair,2023-03-28,Utilities,1103.0,22000.0,,Card
Divya Yeddu,2023-03-28,Travel,402.0,25000.0,,UPI
Swathi Reddy,2023-03-28,Miscellaneous,1173.0,25000.0,,NetBanking
Rohan Verma,2023-03-28,Food,207.0,20000.0,,Card
Vikram Joshi,2023-03-28,Food,406.0,25000.0,,UPI
Karthik Rao,2023-03-29,Study Materials,949.0,18000.0,,Card
Tanvi Jain,2023-03-29,Travel,186.0,30000.0,,UPI
Rohan Verma,2023-03-29,Miscellaneous,2302.0,20000.0,,Cash
Megha Das,2023-03-29,Health,2238.0,25000.0,,Card
Arjun Nair,2023-03-29,Rent,11479.0,22000.0,,Cash
Megha Das,2023-03-29,Health,2034.0,25000.0,,UPI
Divya Yeddu,2023-03-30,Travel,467.0,25000.0,,NetBanking
Sneha Kapoor,2023-03-30,Groceries,714.0,18000.0,,NetBanking
Ananya Singh,2023-03-30,Miscellaneous,286.0,30000.0,,UPI
Arjun Nair,2023-03-30,Groceries,1666.0,22000.0,,Cash
Tanvi Jain,2023-03-30,Groceries,1094.0,30000.0,,Cash
Arjun Nair,2023-03-30,Food,600.0,22000.0,,NetBanking
Karthik Rao,2023-03-30,Food,153.0,18000.0,,Card
Harsha Patel,2023-03-31,Travel,269.0,30000.0,,Card
Amit Sharma,2023-03-31,Groceries,881.0,20000.0,,Card
Aditya Pillai,2023-03-31,Travel,111.0,20000.0,,NetBanking
Rohan Verma,2023-03-31,Study Materials,1762.0,20000.0,,UPI
Tanvi Jain,2023-03-31,Travel,554.0,30000.0,,UPI
Harini Bhat,2023-03-31,Travel,428.0,30000.0,,Card
Swathi Reddy,2023-03-31,Food,643.0,25000.0,,UPI
Arjun Nair,2023-03-31,Food,230.0,22000.0,,UPI
Harini Bhat,2023-03-31,Travel,277.0,30000.0,,Card
Vikram Joshi,2023-03-31,Travel,269.0,25000.0,,UPI
Arjun Nair,2023-03-31,Entertainment,2200.0,22000.0,,UPI
Vikram Joshi,2023-04-01,Miscellaneous,482.0,25000.0,,UPI
Priya Iyer,2023-04-01,Miscellaneous,665.0,18000.0,,NetBanking
Shreya Sen,2023-04-01,Travel,407.0,18000.0,,Card
Pooja Mehta,2023-04-01,Travel,58.0,30000.0,,NetBanking
Ananya Singh,2023-04-01,Entertainment,1268.0,30000.0,,Card
Priya Iyer,2023-04-01,Study Materials,1730.0,18000.0,,NetBanking
Rohan Verma,2023-04-01,Health,951.0,20000.0,,NetBanking
Vivek Menon,2023-04-01,Food,293.0,18000.0,,UPI
Swathi Reddy,2023-04-02,Food,609.0,25000.0,,UPI
Divya Yeddu,2023-04-02,Rent,11827.0,25000.0,,Card
Megha Das,2023-04-02,Entertainment,1584.0,25000.0,,Card
Aditya Pillai,2023-04-02,Travel,402.0,20000.0,,Cash
Varun Gupta,2023-04-02,Miscellaneous,209.0,20000.0,,UPI
Arjun Nair,2023-04-02,Miscellaneous,845.0,22000.0,,Cash
Megha Das,2023-04-02,Health,2181.0,25000.0,,Card
Shreya Sen,2023-04-02,Entertainment,1233.0,18000.0,,NetBanking
Aditya Pillai,2023-04-03,Travel,136.0,20000.0,,UPI
Pooja Mehta,2023-04-03,Travel,95.0,30000.0,,NetBanking
Varun Gupta,2023-04-03,Miscellaneous,2344.0,20000.0,,NetBanking
Swathi Reddy,2023-04-03,Utilities,933.0,25000.0,,Cash
Arjun Nair,2023-04-03,Study Materials,1857.0,22000.0,,UPI
Shreya Sen,2023-04-03,Groceries,824.0,18000.0,,Card
Swathi Reddy,2023-04-03,Health,2468.0,25000.0,,Cash
Divya Yeddu,2023-04-03,Entertainment,1043.0,25000.0,,UPI
Arjun Nair,2023-04-03,Food,533.0,22000.0,,NetBanking
Aditya Pillai,2023-04-03,Groceries,1833.0,20000.0,,Cash
Megha Das,2023-04-04,Study Materials,1695.0,25000.0,,UPI
Megha Das,2023-04-04,Entertainment,2221.0,25000.0,,UPI
Megha Das,2023-04-04,Rent,5701.0,25000.0,,Card
Ananya Singh,2023-04-04,Miscellaneous,1021.0,30000.0,,NetBanking
Priya Iyer,2023-04-04,Study Materials,1417.0,18000.0,,NetBanking
Ishita Roy,2023-04-04,Food,380.0,22000.0,,UPI
Swathi Reddy,2023-04-04,Study Materials,1318.0,25000.0,,Cash
Ananya Singh,2023-04-04,Health,356.0,30000.0,,Cash
Vivek Menon,2023-04-04,Utilities,1574.0,18000.0,,Card
Shreya Sen,2023-04-05,Entertainment,1190.0,18000.0,,Card
Pooja Mehta,2023-04-05,Rent,8014.0,30000.0,,Cash
Vivek Menon,2023-04-05,Travel,343.0,18000.0,,Cash
Ishita Roy,2023-04-05,Entertainment,2009.0,22000.0,,NetBanking
Harsha Patel,2023-04-05,Study Materials,1150.0,30000.0,,UPI
Ananya Singh,2023-04-05,Groceries,1955.0,30000.0,,Card
Megha Das,2023-04-05,Study Materials,1908.0,25000.0,,Card
Nisha Sharma,2023-04-05,Groceries,1228.0,18000.0,,NetBanking
Ananya Singh,2023-04-05,Rent,4894.0,30000.0,,NetBanking
Rahul Kumar,2023-04-05,Miscellaneous,1273.0,20000.0,,Cash
Arjun Nair,2023-04-06,Study Materials,1161.0,22000.0,,Cash
Tanvi Jain,2023-04-06,Utilities,1463.0,30000.0,,UPI
Swathi Reddy,2023-04-06,Utilities,1957.0,25000.0,,NetBanking
Pooja Mehta,2023-04-06,Food,236.0,30000.0,,Cash
Varun Gupta,2023-04-06,Miscellaneous,1924.0,20000.0,,UPI
Krishna Rao,2023-04-06,Rent,5814.0,30000.0,,UPI
Pooja Mehta,2023-04-07,Travel,376.0,30000.0,,Cash
Nisha Sharma,2023-04-07,Groceries,2020.0,18000.0,,Card
Megha Das,2023-04-07,Travel,229.0,25000.0,,UPI
Nisha Sharma,2023-04-07,Food,355.0,18000.0,,Card
Vikram Joshi,2023-04-08,Groceries,1404.0,25000.0,,UPI
Pooja Mehta,2023-04-08,Rent,4636.0,30000.0,,NetBanking
Harini Bhat,2023-04-08,Entertainment,319.0,30000.0,,UPI
Krishna Rao,2023-04-08,Utilities,149.0,30000.0,,UPI
Ishita Roy,2023-04-08,Study Materials,655.0,22000.0,,Cash
Harsha Patel,2023-04-08,Entertainment,370.0,30000.0,,NetBanking
Ananya Singh,2023-04-08,Food,586.0,30000.0,,UPI
Krishna Rao,2023-04-09,Utilities,734.0,30000.0,,UPI
Amit Sharma,2023-04-09,Study Materials,1278.0,20000.0,,UPI
Vivek Menon,2023-04-09,Study Materials,396.0,18000.0,,Cash
